"old_file","old_fqcn","new_file","new_fqcn","symbol_type","business_domain","registration_type","external_reference_count"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/SkillDetailResponseDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\SkillDetailResponseDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/SkillDetailResponseDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\SkillDetailResponseDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/SkillFileUrlItemDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\SkillFileUrlItemDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/SkillFileUrlItemDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\SkillFileUrlItemDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/SkillListItemDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\SkillListItemDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/SkillListItemDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\SkillListItemDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/SkillListResponseDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\SkillListResponseDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/SkillListResponseDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\SkillListResponseDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/SkillMarketDetailResponseDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\SkillMarketDetailResponseDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/SkillMarketDetailResponseDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\SkillMarketDetailResponseDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/SkillMarketListItemAdminDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\SkillMarketListItemAdminDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/SkillMarketListItemAdminDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\SkillMarketListItemAdminDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/SkillMarketListItemDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\SkillMarketListItemDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/SkillMarketListItemDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\SkillMarketListItemDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/SkillMarketListResponseDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\SkillMarketListResponseDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/SkillMarketListResponseDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\SkillMarketListResponseDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/SkillPublishPrefillResponseDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\SkillPublishPrefillResponseDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/SkillPublishPrefillResponseDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\SkillPublishPrefillResponseDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/SkillVersionListItemAdminDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\SkillVersionListItemAdminDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/SkillVersionListItemAdminDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\SkillVersionListItemAdminDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/SkillVersionListItemDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\SkillVersionListItemDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/SkillVersionListItemDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\SkillVersionListItemDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/Facade/Admin/AdminSkillApi.php","Dtyq\SuperMagic\Interfaces\Skill\Facade\Admin\AdminSkillApi","app/Interfaces/Admin/SuperMagic/Skill/AdminSkillApi.php","App\Interfaces\Admin\SuperMagic\Skill\AdminSkillApi","class","Skill","RouteHandler","0"
